id,age,gender,experience,case_type,question_number,n_words,is_correct_answer,time,device
45,26,male,3,camel,3,2,TRUE,1735,Trackpad
45,26,male,3,camel,4,2,TRUE,1769,Trackpad
45,26,male,3,camel,5,3,TRUE,2897,Trackpad
45,26,male,3,camel,6,2,TRUE,1858,Trackpad
45,26,male,3,camel,7,2,TRUE,2432,Trackpad
45,26,male,3,camel,8,2,TRUE,2539,Trackpad
45,26,male,3,camel,9,2,TRUE,2117,Trackpad
45,26,male,3,camel,10,3,TRUE,3848,Trackpad
209,21,male,3,camel,1,2,TRUE,1601,Mouse
209,21,male,3,camel,2,2,TRUE,2026,Mouse
209,21,male,3,camel,3,3,TRUE,1899,Mouse
209,21,male,3,camel,4,2,TRUE,1316,Mouse
209,21,male,3,camel,5,2,TRUE,2755,Mouse
209,21,male,3,camel,6,3,TRUE,1862,Mouse
209,21,male,3,camel,7,3,TRUE,1732,Mouse
209,21,male,3,camel,8,2,TRUE,1427,Mouse
209,21,male,3,camel,9,2,TRUE,1932,Mouse
209,21,male,3,camel,10,2,FALSE,1826,Mouse
209,21,male,3,kebab,10,2,TRUE,1435,Mouse
209,21,male,3,kebab,3,3,TRUE,2163,Mouse
209,21,male,3,kebab,2,2,TRUE,1988,Mouse
209,21,male,3,kebab,7,3,TRUE,1543,Mouse
209,21,male,3,kebab,9,2,TRUE,1462,Mouse
209,21,male,3,kebab,8,2,TRUE,1104,Mouse
209,21,male,3,kebab,1,2,TRUE,1527,Mouse
209,21,male,3,kebab,6,3,TRUE,1235,Mouse
209,21,male,3,kebab,4,2,TRUE,1216,Mouse
209,21,male,3,kebab,5,2,TRUE,1523,Mouse
210,54,male,No,kebab,2,3,TRUE,7648,Trackpad
210,54,male,No,kebab,4,3,TRUE,5077,Trackpad
210,54,male,No,kebab,8,3,TRUE,4408,Trackpad
210,54,male,No,kebab,3,2,TRUE,4936,Trackpad
210,54,male,No,kebab,6,3,FALSE,1175,Trackpad
210,54,male,No,kebab,5,2,FALSE,905,Trackpad
210,54,male,No,kebab,1,2,TRUE,8524,Trackpad
210,54,male,No,kebab,10,2,TRUE,5499,Trackpad
210,54,male,No,kebab,7,2,TRUE,5535,Trackpad
210,54,male,No,kebab,9,2,TRUE,3450,Trackpad
210,54,male,No,camel,1,2,TRUE,6366,Trackpad
210,54,male,No,camel,2,3,TRUE,7742,Trackpad
210,54,male,No,camel,3,2,TRUE,6047,Trackpad
210,54,male,No,camel,4,3,TRUE,5143,Trackpad
210,54,male,No,camel,5,2,TRUE,5510,Trackpad
210,54,male,No,camel,6,3,TRUE,7109,Trackpad
210,54,male,No,camel,7,2,TRUE,4407,Trackpad
210,54,male,No,camel,8,3,TRUE,6028,Trackpad
210,54,male,No,camel,9,2,TRUE,4839,Trackpad
210,54,male,No,camel,10,2,TRUE,4926,Trackpad
46,21,male,3,camel,1,3,TRUE,3681,Trackpad
46,21,male,3,camel,2,3,TRUE,2060,Trackpad
46,21,male,3,camel,3,3,TRUE,2081,Trackpad
46,21,male,3,camel,4,2,FALSE,1993,Trackpad
46,21,male,3,camel,5,3,TRUE,1915,Trackpad
46,21,male,3,camel,6,2,TRUE,1547,Trackpad
46,21,male,3,camel,7,3,TRUE,1729,Trackpad
46,21,male,3,camel,8,3,TRUE,1741,Trackpad
46,21,male,3,camel,9,3,TRUE,2142,Trackpad
46,21,male,3,camel,10,3,TRUE,2156,Trackpad
46,21,male,3,kebab,3,3,TRUE,1932,Trackpad
46,21,male,3,kebab,9,3,TRUE,1623,Trackpad
46,21,male,3,kebab,6,2,TRUE,1854,Trackpad
46,21,male,3,kebab,10,3,TRUE,1823,Trackpad
46,21,male,3,kebab,4,2,FALSE,1906,Trackpad
46,21,male,3,kebab,2,3,TRUE,2043,Trackpad
46,21,male,3,kebab,8,3,TRUE,2406,Trackpad
46,21,male,3,kebab,1,3,TRUE,1597,Trackpad
46,21,male,3,kebab,7,3,TRUE,1422,Trackpad
46,21,male,3,kebab,5,3,TRUE,2170,Trackpad
47,23,male,1-3,camel,1,3,TRUE,3092,Trackpad
47,23,male,1-3,camel,2,2,TRUE,2533,Trackpad
47,23,male,1-3,camel,3,2,TRUE,2840,Trackpad
47,23,male,1-3,camel,4,3,TRUE,2391,Trackpad
47,23,male,1-3,camel,5,3,TRUE,2126,Trackpad
47,23,male,1-3,camel,6,2,TRUE,2349,Trackpad
47,23,male,1-3,camel,7,2,TRUE,5341,Trackpad
47,23,male,1-3,camel,8,2,TRUE,1593,Trackpad
47,23,male,1-3,camel,9,2,FALSE,1465,Trackpad
47,23,male,1-3,camel,10,2,FALSE,1750,Trackpad
47,23,male,1-3,kebab,2,2,TRUE,1462,Trackpad
47,23,male,1-3,kebab,5,3,TRUE,1220,Trackpad
47,23,male,1-3,kebab,10,2,TRUE,1662,Trackpad
47,23,male,1-3,kebab,4,3,TRUE,2077,Trackpad
47,23,male,1-3,kebab,7,2,TRUE,2154,Trackpad
47,23,male,1-3,kebab,9,2,FALSE,1930,Trackpad
47,23,male,1-3,kebab,8,2,TRUE,1529,Trackpad
47,23,male,1-3,kebab,1,3,TRUE,2458,Trackpad
47,23,male,1-3,kebab,6,2,FALSE,1567,Trackpad
47,23,male,1-3,kebab,3,2,TRUE,1472,Trackpad
48,26,male,3,kebab,5,2,TRUE,2617,Trackpad
48,26,male,3,kebab,8,3,TRUE,4744,Trackpad
48,26,male,3,kebab,6,2,TRUE,3427,Trackpad
48,26,male,3,kebab,3,2,TRUE,2716,Trackpad
48,26,male,3,kebab,7,2,TRUE,2711,Trackpad
48,26,male,3,kebab,9,2,TRUE,2109,Trackpad
48,26,male,3,kebab,10,2,TRUE,2285,Trackpad
48,26,male,3,kebab,1,2,TRUE,1809,Trackpad
48,26,male,3,kebab,4,3,TRUE,5557,Trackpad
48,26,male,3,kebab,2,3,TRUE,2647,Trackpad
48,26,male,3,camel,1,2,TRUE,2515,Trackpad
48,26,male,3,camel,2,3,TRUE,3858,Trackpad
48,26,male,3,camel,3,2,TRUE,2307,Trackpad
48,26,male,3,camel,4,3,TRUE,4381,Trackpad
48,26,male,3,camel,5,2,TRUE,2696,Trackpad
48,26,male,3,camel,6,2,TRUE,1674,Trackpad
48,26,male,3,camel,7,2,TRUE,4011,Trackpad
48,26,male,3,camel,8,3,TRUE,3485,Trackpad
48,26,male,3,camel,9,2,TRUE,2509,Trackpad
48,26,male,3,camel,10,2,TRUE,3625,Trackpad
49,38,male,3,camel,1,2,TRUE,3591,Trackpad
49,38,male,3,camel,2,2,TRUE,2239,Trackpad
49,38,male,3,camel,3,2,TRUE,2634,Trackpad
49,38,male,3,camel,4,2,TRUE,2692,Trackpad
49,38,male,3,camel,5,2,TRUE,2543,Trackpad
49,38,male,3,camel,6,3,TRUE,2725,Trackpad
49,38,male,3,camel,7,2,TRUE,3879,Trackpad
49,38,male,3,camel,8,2,TRUE,2727,Trackpad
49,38,male,3,camel,9,2,TRUE,2070,Trackpad
49,38,male,3,camel,10,2,TRUE,2066,Trackpad
49,38,male,3,kebab,4,2,TRUE,2345,Trackpad
49,38,male,3,kebab,6,3,TRUE,3839,Trackpad
49,38,male,3,kebab,10,2,TRUE,2265,Trackpad
49,38,male,3,kebab,7,2,TRUE,3867,Trackpad
49,38,male,3,kebab,8,2,TRUE,2181,Trackpad
49,38,male,3,kebab,9,2,TRUE,1808,Trackpad
49,38,male,3,kebab,2,2,TRUE,1928,Trackpad
49,38,male,3,kebab,3,2,TRUE,1838,Trackpad
49,38,male,3,kebab,1,2,TRUE,2035,Trackpad
49,38,male,3,kebab,5,2,TRUE,2337,Trackpad
50,21,male,1-3,camel,1,3,TRUE,4409,Mouse
50,21,male,1-3,camel,2,2,TRUE,2493,Mouse
50,21,male,1-3,camel,3,3,TRUE,3948,Mouse
50,21,male,1-3,camel,4,2,FALSE,3008,Mouse
50,21,male,1-3,camel,5,2,TRUE,2287,Mouse
50,21,male,1-3,camel,6,2,TRUE,3184,Mouse
50,21,male,1-3,camel,7,2,TRUE,2752,Mouse
50,21,male,1-3,camel,8,3,TRUE,2221,Mouse
50,21,male,1-3,camel,9,3,TRUE,3280,Mouse
50,21,male,1-3,camel,10,2,TRUE,2301,Mouse
50,21,male,1-3,kebab,6,2,TRUE,3139,Mouse
50,21,male,1-3,kebab,5,2,TRUE,1825,Mouse
50,21,male,1-3,kebab,1,3,TRUE,2950,Mouse
50,21,male,1-3,kebab,4,2,TRUE,3344,Mouse
50,21,male,1-3,kebab,7,2,TRUE,1963,Mouse
50,21,male,1-3,kebab,10,2,TRUE,2788,Mouse
50,21,male,1-3,kebab,2,2,TRUE,2043,Mouse
50,21,male,1-3,kebab,9,3,TRUE,2638,Mouse
50,21,male,1-3,kebab,3,3,TRUE,2306,Mouse
50,21,male,1-3,kebab,8,3,TRUE,2771,Mouse
51,21,male,3,camel,1,2,TRUE,4104,Trackpad
51,21,male,3,camel,2,2,TRUE,3683,Trackpad
51,21,male,3,camel,3,2,TRUE,4634,Trackpad
51,21,male,3,camel,4,2,FALSE,4234,Trackpad
51,21,male,3,camel,5,2,TRUE,7283,Trackpad
51,21,male,3,camel,6,3,TRUE,5047,Trackpad
51,21,male,3,camel,7,2,TRUE,4967,Trackpad
51,21,male,3,camel,8,2,TRUE,4061,Trackpad
51,21,male,3,camel,9,2,TRUE,4763,Trackpad
51,21,male,3,camel,10,2,TRUE,6551,Trackpad
51,21,male,3,kebab,4,2,TRUE,4620,Trackpad
51,21,male,3,kebab,3,2,TRUE,5135,Trackpad
51,21,male,3,kebab,10,2,TRUE,3095,Trackpad
51,21,male,3,kebab,8,2,TRUE,3277,Trackpad
51,21,male,3,kebab,9,2,TRUE,6728,Trackpad
51,21,male,3,kebab,5,2,TRUE,4291,Trackpad
51,21,male,3,kebab,7,2,TRUE,4573,Trackpad
51,21,male,3,kebab,6,3,TRUE,7046,Trackpad
51,21,male,3,kebab,1,2,TRUE,3585,Trackpad
51,21,male,3,kebab,2,2,TRUE,4193,Trackpad
52,23,male,1-3,kebab,8,2,TRUE,5235,Trackpad
52,23,male,1-3,kebab,6,3,TRUE,12482,Trackpad
52,23,male,1-3,kebab,1,2,TRUE,7884,Trackpad
52,23,male,1-3,kebab,2,3,TRUE,7634,Trackpad
52,23,male,1-3,kebab,9,2,TRUE,4848,Trackpad
52,23,male,1-3,kebab,4,2,TRUE,3953,Trackpad
52,23,male,1-3,kebab,5,2,TRUE,5696,Trackpad
52,23,male,1-3,kebab,3,2,TRUE,10538,Trackpad
52,23,male,1-3,kebab,7,2,TRUE,2233,Trackpad
52,23,male,1-3,kebab,10,2,TRUE,3055,Trackpad
52,23,male,1-3,camel,1,2,TRUE,9599,Trackpad
52,23,male,1-3,camel,2,3,TRUE,8378,Trackpad
52,23,male,1-3,camel,3,2,TRUE,3708,Trackpad
52,23,male,1-3,camel,4,2,TRUE,7320,Trackpad
52,23,male,1-3,camel,5,2,TRUE,4229,Trackpad
52,23,male,1-3,camel,6,3,TRUE,20771,Trackpad
52,23,male,1-3,camel,7,2,TRUE,3516,Trackpad
52,23,male,1-3,camel,8,2,TRUE,4733,Trackpad
52,23,male,1-3,camel,9,2,TRUE,3440,Trackpad
52,23,male,1-3,camel,10,2,TRUE,2266,Trackpad
